ReleaseDate,State,Nothing,D0,D1,D2,D3,D4,ValidStart,ValidEnd
2014-08-19,AK,100.00,0.00,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,AL,54.84,45.16,4.13,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,AR,89.25,10.75,2.36,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,AZ,0.00,100.00,97.88,65.34,9.39,0.00,2014-08-19,2014-08-25
2014-08-19,CA,0.00,100.00,100.00,97.59,81.92,58.41,2014-08-19,2014-08-25
2014-08-19,CO,59.90,40.10,26.79,15.58,2.67,0.00,2014-08-19,2014-08-25
2014-08-19,CT,52.93,47.07,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,DC,100.00,0.00,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,DE,100.00,0.00,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,FL,78.79,21.21,2.80,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,GA,51.67,48.33,16.47,3.21,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,HI,99.39,0.61,0.53,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,IA,80.08,19.92,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,ID,15.92,84.08,46.26,28.95,2.09,0.00,2014-08-19,2014-08-25
2014-08-19,IL,96.33,3.67,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,IN,73.06,26.94,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,KS,2.73,97.27,87.86,20.15,5.58,0.00,2014-08-19,2014-08-25
2014-08-19,KY,68.40,31.60,4.86,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,LA,100.00,0.00,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,MA,67.26,32.74,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,MD,100.00,0.00,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,ME,100.00,0.00,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,MI,91.86,8.14,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,MN,94.59,5.41,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,MO,60.88,39.12,4.73,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,MS,95.65,4.35,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,MT,80.88,19.12,1.26,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,NC,90.56,9.44,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,ND,94.15,5.85,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,NE,63.58,36.42,5.73,0.01,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,NH,100.00,0.00,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,NJ,100.00,0.00,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,NM,2.63,97.37,66.38,40.20,7.39,0.00,2014-08-19,2014-08-25
2014-08-19,NV,0.00,100.00,100.00,86.92,55.21,11.89,2014-08-19,2014-08-25
2014-08-19,NY,99.41,0.59,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,OH,87.85,12.15,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,OK,19.52,80.48,71.14,47.11,15.35,2.25,2014-08-19,2014-08-25
2014-08-19,OR,1.69,98.31,75.78,56.02,33.82,0.00,2014-08-19,2014-08-25
2014-08-19,PA,100.00,0.00,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,PR,59.46,40.54,7.74,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,RI,0.98,99.02,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,SC,91.73,8.27,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,SD,76.03,23.97,2.79,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,TN,89.32,10.68,1.30,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,TX,19.17,80.83,59.28,34.23,15.16,2.76,2014-08-19,2014-08-25
2014-08-19,UT,9.26,90.74,81.92,30.78,1.43,0.00,2014-08-19,2014-08-25
2014-08-19,VA,91.39,8.61,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,VT,100.00,0.00,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,WA,39.62,60.38,40.32,19.99,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,WI,84.52,15.48,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,WV,92.65,7.35,0.00,0.00,0.00,0.00,2014-08-19,2014-08-25
2014-08-19,WY,90.65,9.35,3.55,0.00,0.00,0.00,2014-08-19,2014-08-25
