ReleaseDate,State,Nothing,D0,D1,D2,D3,D4,ValidStart,ValidEnd
2016-07-12,AK,77.67,22.33,0.00,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,AL,37.05,62.95,42.74,15.48,2.72,0.00,2016-07-12,2016-07-18
2016-07-12,AR,72.68,27.32,0.00,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,AZ,0.41,99.59,59.42,7.99,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,CA,0.00,100.00,83.59,59.02,42.80,21.04,2016-07-12,2016-07-18
2016-07-12,CO,92.96,7.04,0.00,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,CT,0.00,100.00,42.94,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,DC,100.00,0.00,0.00,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,DE,100.00,0.00,0.00,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,FL,96.34,3.66,0.00,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,GA,44.72,55.28,33.76,28.13,8.68,0.00,2016-07-12,2016-07-18
2016-07-12,HI,45.11,54.89,21.28,5.51,0.36,0.00,2016-07-12,2016-07-18
2016-07-12,IA,55.54,44.46,17.58,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,ID,40.04,59.96,0.30,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,IL,77.33,22.67,1.92,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,IN,70.83,29.17,0.00,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,KS,95.84,4.16,0.00,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,KY,100.00,0.00,0.00,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,LA,69.43,30.57,2.02,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,MA,0.70,99.30,61.34,33.69,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,MD,100.00,0.00,0.00,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,ME,45.36,54.64,11.55,1.43,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,MI,32.04,67.96,16.84,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,MN,91.24,8.76,1.15,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,MO,81.17,18.83,4.32,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,MS,21.56,78.44,41.65,6.19,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,MT,70.52,29.48,8.74,0.47,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,NC,83.67,16.33,10.32,7.12,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,ND,87.73,12.27,1.97,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,NE,75.69,24.31,2.46,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,NH,16.44,83.56,41.60,17.18,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,NJ,32.01,67.99,37.97,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,NM,23.15,76.85,15.62,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,NV,32.80,67.20,34.25,21.68,0.26,0.00,2016-07-12,2016-07-18
2016-07-12,NY,10.43,89.57,44.39,11.39,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,OH,39.22,60.78,13.80,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,OK,64.49,35.51,7.36,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,OR,0.00,100.00,49.75,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,PA,28.20,71.80,12.56,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,PR,81.71,18.29,6.48,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,RI,0.00,100.00,0.00,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,SC,65.36,34.64,24.79,10.62,2.70,0.00,2016-07-12,2016-07-18
2016-07-12,SD,48.12,51.88,32.02,5.73,0.81,0.00,2016-07-12,2016-07-18
2016-07-12,TN,37.55,62.45,31.63,12.67,1.24,0.00,2016-07-12,2016-07-18
2016-07-12,TX,93.97,6.03,0.00,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,UT,50.63,49.37,0.00,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,VA,99.63,0.37,0.00,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,VT,4.27,95.73,14.77,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,WA,0.00,100.00,3.63,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,WI,95.75,4.25,0.00,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,WV,99.88,0.12,0.00,0.00,0.00,0.00,2016-07-12,2016-07-18
2016-07-12,WY,66.65,33.35,12.84,4.77,0.82,0.00,2016-07-12,2016-07-18
