ReleaseDate,State,Nothing,D0,D1,D2,D3,D4,ValidStart,ValidEnd
2014-06-24,AK,78.54,21.46,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,AL,95.03,4.97,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,AR,84.20,15.80,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,AZ,0.00,100.00,98.17,76.30,16.82,0.00,2014-06-24,2014-06-30
2014-06-24,CA,0.00,100.00,100.00,100.00,76.69,32.98,2014-06-24,2014-06-30
2014-06-24,CO,50.84,49.16,26.49,17.30,9.32,1.89,2014-06-24,2014-06-30
2014-06-24,CT,100.00,0.00,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,DC,100.00,0.00,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,DE,100.00,0.00,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,FL,100.00,0.00,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,GA,97.22,2.78,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,HI,78.85,21.15,0.53,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,IA,83.54,16.46,2.78,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,ID,38.01,61.99,41.29,28.41,1.74,0.00,2014-06-24,2014-06-30
2014-06-24,IL,99.02,0.98,0.24,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,IN,95.19,4.81,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,KS,0.09,99.91,86.60,48.09,20.61,0.00,2014-06-24,2014-06-30
2014-06-24,KY,47.04,52.96,1.69,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,LA,88.39,11.61,2.09,0.29,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,MA,80.93,19.07,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,MD,100.00,0.00,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,ME,99.45,0.55,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,MI,100.00,0.00,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,MN,100.00,0.00,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,MO,61.13,38.87,10.22,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,MS,99.12,0.88,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,MT,98.05,1.95,0.01,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,NC,93.74,6.26,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,ND,100.00,0.00,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,NE,49.81,50.19,20.46,2.57,0.01,0.00,2014-06-24,2014-06-30
2014-06-24,NH,87.93,12.07,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,NJ,100.00,0.00,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,NM,0.00,100.00,96.09,84.56,29.24,0.42,2014-06-24,2014-06-30
2014-06-24,NV,0.00,100.00,100.00,86.92,40.84,11.08,2014-06-24,2014-06-30
2014-06-24,NY,100.00,0.00,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,OH,100.00,0.00,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,OK,9.08,90.92,78.40,65.61,40.57,10.69,2014-06-24,2014-06-30
2014-06-24,OR,6.09,93.91,72.78,46.01,9.31,0.00,2014-06-24,2014-06-30
2014-06-24,PA,100.00,0.00,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,PR,59.51,40.49,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,RI,53.57,46.43,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,SC,88.02,11.98,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,SD,92.54,7.46,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,TN,41.47,58.53,7.90,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,TX,11.41,88.59,69.00,36.86,19.27,4.95,2014-06-24,2014-06-30
2014-06-24,UT,9.08,90.92,72.34,21.77,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,VA,90.07,9.93,1.96,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,VT,100.00,0.00,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,WA,50.82,49.18,33.38,18.27,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,WI,100.00,0.00,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,WV,99.24,0.76,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
2014-06-24,WY,90.64,9.36,0.00,0.00,0.00,0.00,2014-06-24,2014-06-30
