ReleaseDate,State,Nothing,D0,D1,D2,D3,D4,ValidStart,ValidEnd
2015-06-16,AK,52.84,47.16,0.00,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,AL,93.28,6.72,0.00,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,AR,100.00,0.00,0.00,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,AZ,7.04,92.96,76.84,24.80,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,CA,0.14,99.86,98.71,94.59,71.08,46.73,2015-06-16,2015-06-22
2015-06-16,CO,74.22,25.78,0.00,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,CT,0.00,100.00,44.32,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,DC,100.00,0.00,0.00,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,DE,100.00,0.00,0.00,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,FL,70.40,29.60,12.87,1.25,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,GA,75.59,24.41,7.32,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,HI,33.23,66.77,23.55,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,IA,99.70,0.30,0.00,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,ID,0.00,100.00,77.55,27.49,6.29,0.00,2015-06-16,2015-06-22
2015-06-16,IL,98.93,1.07,0.00,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,IN,65.12,34.88,14.07,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,KS,86.45,13.55,3.81,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,KY,23.94,76.06,34.62,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,LA,100.00,0.00,0.00,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,MA,0.00,100.00,71.91,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,MD,100.00,0.00,0.00,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,ME,51.53,48.47,7.22,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,MI,81.04,18.96,0.00,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,MN,78.91,21.09,0.00,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,MO,99.51,0.49,0.00,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,MS,92.68,7.32,0.00,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,MT,68.12,31.88,12.48,0.01,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,NC,38.82,61.18,0.00,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,ND,90.98,9.02,0.00,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,NE,87.16,12.84,4.07,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,NH,30.17,69.83,50.40,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,NJ,41.06,58.94,5.84,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,NM,49.21,50.79,33.65,6.62,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,NV,0.00,100.00,95.13,76.10,47.52,11.08,2015-06-16,2015-06-22
2015-06-16,NY,51.90,48.10,15.74,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,OH,69.56,30.44,2.37,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,OK,98.28,1.72,0.00,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,OR,0.00,100.00,97.80,78.15,34.09,0.00,2015-06-16,2015-06-22
2015-06-16,PA,77.44,22.56,2.03,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,PR,40.73,59.27,34.17,6.40,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,RI,0.00,100.00,31.43,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,SC,56.98,43.02,0.00,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,SD,80.33,19.67,3.70,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,TN,74.99,25.01,9.35,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,TX,93.20,6.80,0.29,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,UT,10.07,89.93,65.03,26.84,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,VA,82.14,17.86,3.67,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,VT,73.79,26.21,18.32,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,WA,9.77,90.23,63.42,25.78,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,WI,93.03,6.97,0.00,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,WV,64.19,35.81,9.08,0.00,0.00,0.00,2015-06-16,2015-06-22
2015-06-16,WY,72.21,27.79,0.54,0.00,0.00,0.00,2015-06-16,2015-06-22
